date,portfolio_returns
2010-12-10,-0.0334060149588008
2010-12-13,-0.026606180465244655
2010-12-14,-0.026310448775426876
2010-12-15,-0.030012630825335118
2010-12-16,-0.024504490295867876
2010-12-17,-0.02449324193802782
2010-12-20,-0.02338600167035576
2010-12-21,-0.01805023032132158
2010-12-22,-0.013661212656285615
2010-12-23,-0.012698195566291703
2010-12-24,-0.015189998568992724
2010-12-27,-0.016391475431137614
2010-12-28,-0.019293407781396432
2010-12-29,-0.028672832020342764
2010-12-30,-0.02375447332107672
2010-12-31,-0.01644395518173747
2011-01-03,-0.0166620724625286
2011-01-04,-0.01831011749996836
2011-01-05,-0.030596874600221535
2011-01-06,-0.02769982090224332
2011-01-07,-0.043543492270712414
2011-01-10,-0.04544309043673456
2011-01-11,-0.036636027674155525
2011-01-12,-0.03053933697228839
2011-01-13,-0.03513388622401881
2011-01-14,-0.03707387461703737
2011-01-17,-0.04971482628080115
2011-01-18,-0.044328506876273654
2011-01-19,-0.037269248477921346
2011-01-20,-0.04034486084918354
2011-01-21,-0.04306584244785561
2011-01-24,-0.04509380677169572
2011-01-25,-0.043968948446617695
2011-01-26,-0.04237392920076977
2011-01-27,-0.041398215838410524
2011-01-28,-0.04472310659067502
2011-02-08,-0.05155289745291769
2011-02-09,-0.0523739271486775
2011-02-10,-0.059836317874007006
2011-02-11,-0.08443730849674802
2011-02-14,-0.0764598662607765
2011-02-15,-0.07284722632525797
2011-02-16,-0.06946912088169577
2011-02-17,-0.07246393755090219
2011-02-18,-0.05786253951455078
2011-02-21,-0.057592089047146744
2011-02-22,-0.0761722840773077
2011-02-23,-0.0937247828258645
2011-02-24,-0.09165665998867978
2011-02-25,-0.0948754741886213
2011-03-01,-0.08648672127576673
2011-03-02,-0.08888780414565511
2011-03-03,-0.07934000051085077
2011-03-04,-0.0868844074782027
2011-03-07,-0.09015492845703466
2011-03-08,-0.08964865107134468
2011-03-09,-0.08813665525291792
2011-03-10,-0.09270528075176254
2011-03-11,-0.09630675671406919
2011-03-14,-0.11028297664331765
2011-03-15,-0.15024948404233585
2011-03-16,-0.13985839871773253
2011-03-17,-0.14820165336599722
2011-03-18,-0.12645449002965614
2011-03-21,-0.11446620953856901
2011-03-22,-0.10386520373729424
2011-03-23,-0.100197149476562
2011-03-24,-0.09629390668563953
2011-03-25,-0.10036936488082704
2011-03-28,-0.11006354202824398
2011-03-29,-0.10906847443115897
2011-03-30,-0.10415932166434627
2011-03-31,-0.10022069114834087
2011-04-01,-0.09730946597335699
2011-04-06,-0.09121135527426982
2011-04-07,-0.08487649216871784
2011-04-08,-0.08440613433733335
2011-04-11,-0.08268681254134824
2011-04-12,-0.09160766304785961
2011-04-13,-0.08666990395851915
2011-04-14,-0.07872173492296486
2011-04-15,-0.08529674084598493
2011-04-18,-0.087593423998657
2011-04-19,-0.09474024499916711
2011-04-20,-0.08253242545391426
2011-04-21,-0.07560483858906863
2011-04-22,-0.07174341513430837
2011-04-25,-0.07325588066492983
2011-04-26,-0.07428796787175418
2011-04-27,-0.06819961359689841
2011-04-28,-0.07327511246029117
2011-04-29,-0.08246004709521049
2011-05-03,-0.09668377852827836
2011-05-04,-0.08540270779915893
2011-05-05,-0.07589900681582651
2011-05-06,-0.07817597252795383
2011-05-09,-0.07397630506262431
2011-05-10,-0.07228164109100799
2011-05-11,-0.0715588004631772
2011-05-12,-0.0698613153869373
2011-05-13,-0.0732678759677392
2011-05-16,-0.08359596477386733
2011-05-17,-0.08643518459899102
2011-05-18,-0.0820892696748875
2011-05-19,-0.08676313543279346
2011-05-20,-0.09253006122293139
2011-05-23,-0.09957014423897081
2011-05-24,-0.10458869242756696
2011-05-25,-0.10404814911205351
2011-05-26,-0.09429049817176749
2011-05-27,-0.09090022431117661
2011-05-30,-0.08940237920604033
2011-05-31,-0.07729036115141041
2011-06-01,-0.07425562081717041
2011-06-02,-0.07317579844636668
2011-06-03,-0.07192810430496599
2011-06-07,-0.06822340908937818
2011-06-08,-0.07149462004331808
2011-06-09,-0.07240099036438097
2011-06-10,-0.08451848369738668
2011-06-13,-0.09327394299529113
2011-06-14,-0.08327558093735932
2011-06-15,-0.0851731697204614
2011-06-16,-0.10211601421764649
2011-06-17,-0.10497682451210932
2011-06-20,-0.1240023430408923
2011-06-21,-0.12350434943844879
2011-06-22,-0.11742716175015333
2011-06-23,-0.11741479419554701
2011-06-24,-0.11699664871893978
2011-06-27,-0.11652760141354368
2011-06-28,-0.11662476071629602
2011-06-29,-0.10749583837858812
2011-06-30,-0.10079908888047673
2011-07-01,-0.09449937885260684
2011-07-04,-0.0895891026269614
2011-07-05,-0.08561796807852029
2011-07-06,-0.07675296233462847
2011-07-07,-0.0760958240462487
2011-07-08,-0.07784521262423383
2011-07-11,-0.08243890753925498
2011-07-12,-0.09670878366982782
2011-07-13,-0.09321569801818264
2011-07-14,-0.09773447385764322
2011-07-15,-0.08419458885911402
2011-07-18,-0.08088942435598867
2011-07-19,-0.0765670602629015
2011-07-20,-0.062438694850468934
2011-07-21,-0.0605715206651265
2011-07-22,-0.053678224866928526
2011-07-25,-0.06353992301930367
2011-07-26,-0.05333267440580636
2011-07-27,-0.0456423096159434
2011-07-28,-0.043476272400616134
2011-07-29,-0.05183168507266489
2011-08-01,-0.0435070272160093
2011-08-02,-0.04000308974333544
2011-08-03,-0.04179050108921101
2011-08-04,-0.05582909581985607
2011-08-05,-0.10670601956203085
2011-08-08,-0.13444420390159684
2011-08-09,-0.14049778685491965
2011-08-10,-0.10805262806401572
2011-08-11,-0.11477193850452594
2011-08-12,-0.10971464340849257
2011-08-15,-0.09233145452319214
2011-08-16,-0.08948690752340527
2011-08-17,-0.09546108689749866
2011-08-18,-0.11109736419228344
2011-08-19,-0.14718521788708006
2011-08-22,-0.16168163876232045
2011-08-23,-0.13794639857818425
2011-08-24,-0.13817850142076127
2011-08-25,-0.15771151014186813
2011-08-26,-0.16795855815817196
2011-08-29,-0.15448886875906132
2011-08-30,-0.14099985142730587
2011-08-31,-0.13443398832987719
2011-09-01,-0.1380163401518989
2011-09-02,-0.1344397758758793
2011-09-05,-0.1399548311262786
2011-09-06,-0.15585826339173392
2011-09-07,-0.13968708311166278
2011-09-08,-0.1364953992059592
2011-09-09,-0.1352366962211774
2011-09-13,-0.14974654122154563
2011-09-14,-0.16589570199352932
2011-09-15,-0.1549865979369417
2011-09-16,-0.14064203135015396
2011-09-19,-0.1552824361644941
2011-09-20,-0.14719145815915602
2011-09-21,-0.14460233715329307
2011-09-22,-0.16591130902615214
2011-09-23,-0.19403891567458675
2011-09-26,-0.21824024594459956
2011-09-27,-0.20006531767557256
2011-09-28,-0.19814182036317451
2011-09-29,-0.19357342024882518
2011-09-30,-0.19373485785402322
2011-10-03,-0.21546994066529934
2011-10-04,-0.22242190440956777
2011-10-05,-0.22579360504202384
2011-10-06,-0.2186290992237233
2011-10-07,-0.2088116373459048
2011-10-11,-0.19249888449516583
2011-10-12,-0.19049978968407733
2011-10-13,-0.19138037756233062
2011-10-14,-0.19390043679395697
2011-10-17,-0.19001248571282459
2011-10-18,-0.19398529502905348
2011-10-19,-0.19553704591528454
2011-10-20,-0.20049187367177035
2011-10-21,-0.19676200362407736
2011-10-24,-0.18326377859263432
2011-10-25,-0.18383049530165896
2011-10-26,-0.18157325385458323
2011-10-27,-0.1688447750483658
2011-10-28,-0.16885923844922512
2011-10-31,-0.17009222293763904
2011-11-01,-0.17053955751884586
2011-11-02,-0.1656803766818754
2011-11-03,-0.16471772836787524
2011-11-04,-0.15795413330017094
2011-11-07,-0.15161955331157484
2011-11-08,-0.14935748824066641
2011-11-09,-0.15785233360065487
2011-11-10,-0.16905423713538215
2011-11-11,-0.1698289085110326
2011-11-14,-0.16041685284838503
2011-11-15,-0.16193307895701692
2011-11-16,-0.16044582311066524
2011-11-17,-0.15409984400915955
2011-11-18,-0.16283653193719005
2011-11-21,-0.18028482276682245
2011-11-22,-0.1834310570399863
2011-11-23,-0.19632800278418583
2011-11-24,-0.19629050007155402
2011-11-25,-0.1970520746089668
2011-11-28,-0.19133330279856064
2011-11-29,-0.18570897669007902
2011-11-30,-0.1962524260858305
2011-12-01,-0.17947142390069792
2011-12-02,-0.1873286788381059
2011-12-05,-0.19288264818573408
2011-12-06,-0.21340020115211566
2011-12-07,-0.21960002523634425
2011-12-08,-0.22856136389203208
2011-12-09,-0.2293411456216462
2011-12-12,-0.22959923033325336
2011-12-13,-0.23502973160720453
2011-12-14,-0.22938991186931412
2011-12-15,-0.23952422621600855
2011-12-16,-0.24255835215734367
2011-12-19,-0.2565468164339447
2011-12-20,-0.25598811352701
2011-12-21,-0.24005560928899639
2011-12-22,-0.2367866553241702
2011-12-23,-0.23038996187961547
2011-12-26,-0.23460544980940035
2011-12-27,-0.23767148633027113
2011-12-28,-0.23002502349493104
2011-12-29,-0.23047680781111013
2011-12-30,-0.2228608070686693
2012-01-02,-0.23154457601916745
2012-01-03,-0.22722472432232477
2012-01-04,-0.2289785530016184
2012-01-05,-0.22553808116564178
2012-01-06,-0.2286107704775714
2012-01-09,-0.22701217693199172
2012-01-10,-0.22393207990973418
2012-01-11,-0.21957718757635625
2012-01-12,-0.22654018792468666
2012-01-13,-0.23163917558213798
2012-01-16,-0.22577664782426698
2012-01-17,-0.2186750101837337
2012-01-18,-0.2175677775528979
2012-01-30,-0.20851740943918307
2012-01-31,-0.20318497120100387
2012-02-01,-0.2038402760679534
2012-02-02,-0.19792240802826389
2012-02-03,-0.16316984835249881
2012-02-04,-0.149329249963144
2012-02-06,-0.15239675943819264
2012-02-07,-0.16563658319492713
2012-02-08,-0.132689646710342
2012-02-09,-0.11715969133794268
2012-02-10,-0.11998922177984239
2012-02-13,-0.11172311078991404
2012-02-14,-0.11093898870335417
2012-02-15,-0.09125254000518279
2012-02-16,-0.12979475803074947
2012-02-17,-0.11954260659578875
2012-02-20,-0.1071879615061121
2012-02-21,-0.0958567839744876
2012-02-22,-0.06665480843028337
2012-02-23,-0.05739799825087655
2012-02-24,-0.0627952724102564
2012-02-29,-0.06619616458687627
2012-03-01,-0.06763788039442786
2012-03-02,-0.06122532902445965
2012-03-03,-0.06074137200904839
2012-03-05,-0.07365094970056629
2012-03-06,-0.08825183581445128
2012-03-07,-0.08538154633995576
2012-03-08,-0.07638701018747984
2012-03-09,-0.07076860395524032
2012-03-12,-0.07428090762076855
2012-03-13,-0.06749147292831204
2012-03-14,-0.053845070886679
2012-03-15,-0.04557915876493779
2012-03-16,-0.04713022130058386
2012-03-19,-0.045845430287713596
2012-03-20,-0.04947792389566996
2012-03-21,-0.05166361546534226
2012-03-22,-0.038434544567902185
2012-03-23,-0.032605650330178926
2012-03-26,-0.03585910129642056
2012-03-27,-0.042412966837660604
2012-03-28,-0.042628814638372425
2012-03-29,-0.06637591826671563
2012-03-30,-0.053932795123667554
2012-04-02,-0.06164541852002159
2012-04-03,-0.08013534318875692
2012-04-05,-0.09514471966306781
2012-04-06,-0.07738717509469961
2012-04-09,-0.08386296741022048
2012-04-10,-0.07486058112382665
2012-04-11,-0.0691662151883159
2012-04-12,-0.06625222013271448
2012-04-13,-0.05458810815780557
2012-04-16,-0.05660030801950544
2012-04-17,-0.06956941191141908
2012-04-18,-0.07569590404318682
2012-04-19,-0.0794949581371096
2012-04-20,-0.09418978302083336
2012-04-23,-0.10912715586971866
2012-04-24,-0.11109898359839443
2012-04-25,-0.10211891789039906
2012-04-26,-0.10377365334254773
2012-04-27,-0.11207779600008139
2012-04-30,-0.11343730406812513
2012-05-02,-0.09066552356179669
2012-05-03,-0.09185232816047173
2012-05-04,-0.08831823393279026
2012-05-07,-0.09884415939555458
2012-05-08,-0.09591167254429012
2012-05-09,-0.09935292287751663
2012-05-10,-0.10069285151140217
2012-05-11,-0.11036072383088047
2012-05-14,-0.11721495876894383
2012-05-15,-0.11427847893327792
2012-05-16,-0.12493745702815728
2012-05-17,-0.11701763259946563
2012-05-18,-0.13702006136224
2012-05-21,-0.13349873181967686
2012-05-22,-0.12054958758907308
2012-05-23,-0.1338374466796638
2012-05-24,-0.14141486449193497
2012-05-25,-0.14689418212368566
2012-05-28,-0.14269578520121473
2012-05-29,-0.1180288048388084
2012-05-30,-0.12402193263254413
2012-05-31,-0.12242815660937878
2012-06-01,-0.14385948504765833
2012-06-04,-0.16920220439759015
2012-06-05,-0.1530976934944661
2012-06-06,-0.14433175069157111
2012-06-07,-0.14286130241399875
2012-06-08,-0.14568305294868678
2012-06-11,-0.13863924052838716
2012-06-12,-0.1422698221213753
2012-06-13,-0.13687574914499256
2012-06-14,-0.14099828217681643
2012-06-15,-0.13495844561153725
2012-06-18,-0.12229511833488416
2012-06-19,-0.12334601467418049
2012-06-20,-0.11634315034177711
2012-06-21,-0.1186372326370988
2012-06-22,-0.11887684473988513
2012-06-25,-0.12166041626400181
2012-06-26,-0.12765854098258156
2012-06-27,-0.12516581924342296
2012-06-28,-0.12947341574884308
2012-06-29,-0.11813978711170148
2012-07-02,-0.11803717204885578
2012-07-03,-0.11258220033659627
2012-07-04,-0.10782409224536704
2012-07-05,-0.10631440487868482
2012-07-06,-0.1083780518277696
2012-07-09,-0.1142202464054124
2012-07-10,-0.11727639700205483
2012-07-11,-0.11794226130900787
2012-07-12,-0.12798843575946306
2012-07-13,-0.1346625726535019
2012-07-16,-0.13978750318105793
2012-07-17,-0.13633382960356222
2012-07-18,-0.13715058014998482
2012-07-19,-0.13015954273778796
2012-07-20,-0.13002801739746583
2012-07-23,-0.138191727137693
2012-07-24,-0.14066350773102898
2012-07-25,-0.1373320488515305
2012-07-26,-0.1314934122483815
2012-07-27,-0.11924823630571157
2012-07-30,-0.11813785606167404
2012-07-31,-0.11493250685675083
2012-08-01,-0.11062818923129514
2012-08-03,-0.10593542043813065
2012-08-06,-0.10284879662769575
2012-08-07,-0.10183616934408546
2012-08-08,-0.09489581754342502
2012-08-09,-0.08336322287410414
2012-08-10,-0.08096399738336568
2012-08-13,-0.08440052647926266
2012-08-14,-0.08465762883852135
2012-08-15,-0.08042305630167101
2012-08-16,-0.06965404862574742
2012-08-17,-0.0654593691547819
2012-08-20,-0.06929374566234714
2012-08-21,-0.06767811050890926
2012-08-22,-0.06305677242407381
2012-08-23,-0.060877245657596
2012-08-24,-0.05833682797904216
2012-08-27,-0.06055639105887012
2012-08-28,-0.07348295500300195
2012-08-29,-0.06669124349235334
2012-08-30,-0.06556384534595239
2012-08-31,-0.06373769523936113
2012-09-03,-0.05958187737849607
2012-09-04,-0.06042032583619361
2012-09-05,-0.061353140999251266
2012-09-06,-0.06406561106277342
2012-09-07,-0.05677496046937491
2012-09-10,-0.05156901238455114
2012-09-11,-0.05503620575143142
2012-09-12,-0.04933854707344543
2012-09-13,-0.04600408137437917
2012-09-14,-0.03985179749687218
2012-09-17,-0.04060228720155756
2012-09-18,-0.042652337481012825
2012-09-19,-0.04092698333947875
2012-09-20,-0.044382347034597314
2012-09-21,-0.03598347665965651
2012-09-24,-0.03251301874999468
2012-09-25,-0.03658711132527992
2012-09-26,-0.046498930177528264
2012-09-27,-0.04222560019322519
2012-09-28,-0.04187196465560028
2012-10-01,-0.04652197690877391
2012-10-02,-0.044611337980566934
2012-10-03,-0.04782593996608764
2012-10-04,-0.04672727486097106
2012-10-05,-0.04150256833353938
2012-10-08,-0.048683086874817816
2012-10-09,-0.05771182950526377
2012-10-11,-0.07134614028121378
2012-10-12,-0.06953638289386066
2012-10-15,-0.07733318942592038
2012-10-16,-0.06955234668853172
2012-10-17,-0.06647761941892771
2012-10-18,-0.06286736711239915
2012-10-19,-0.06215596504965848
2012-10-22,-0.06429782708518528
2012-10-23,-0.06344025279938559
2012-10-24,-0.06914510307313715
2012-10-25,-0.07852661418924767
2012-10-26,-0.10645579896038893
2012-10-29,-0.12575881753747742
2012-10-30,-0.1122886003483129
2012-10-31,-0.1114628994135608
2012-11-01,-0.1069872270466774
2012-11-02,-0.10512735529214523
2012-11-05,-0.10772930352358145
2012-11-06,-0.10260922744731482
2012-11-07,-0.09748917506204524
2012-11-08,-0.10104977679979077
2012-11-09,-0.09207464622034489
2012-11-12,-0.09034907423837768
2012-11-13,-0.09983630464098392
2012-11-14,-0.09678102269590416
2012-11-15,-0.0987193288060838
2012-11-16,-0.101417768878733
2012-11-19,-0.11096885764121922
2012-11-20,-0.11386770988748784
2012-11-21,-0.12041610108972711
2012-11-22,-0.11945467239797547
2012-11-23,-0.10555422248807622
2012-11-26,-0.09880949488246071
2012-11-27,-0.09620767450288048
2012-11-28,-0.09437859840715501
2012-11-29,-0.08911521880213258
2012-11-30,-0.08789715980215584
2012-12-03,-0.09073011965216105
2012-12-04,-0.08594366502470807
2012-12-05,-0.08224341129191037
2012-12-06,-0.08379168263115111
2012-12-07,-0.08208133912056337
2012-12-10,-0.08155360197234152
2012-12-11,-0.08515566270894459
2012-12-12,-0.0755611592320714
2012-12-13,-0.0704202119407984
2012-12-14,-0.06959506613034161
2012-12-17,-0.07057271290118017
2012-12-18,-0.06742292633756475
2012-12-19,-0.0634612491646599
2012-12-20,-0.0668037521862117
2012-12-21,-0.07364556583027215
2012-12-22,-0.0655048891964396
2012-12-24,-0.05900437188138241
2012-12-25,-0.04689014690018278
2012-12-26,-0.038563295944791465
2012-12-27,-0.03725565752945814
2012-12-28,-0.03478130350390263
2013-01-02,-0.03177105268322544
2013-01-03,-0.026921610385333805
2013-01-04,-0.02785254055247266
2013-01-07,-0.02819502944504304
2013-01-08,-0.031674210449516904
2013-01-09,-0.024763788057349134
2013-01-10,-0.023685884933365764
2013-01-11,-0.021599243008216806
2013-01-14,-0.018564856532405027
2013-01-15,-0.022943379109366613
2013-01-16,-0.02820135586037731
2013-01-17,-0.049845826350036315
2013-01-18,-0.03666031790345603
2013-01-21,-0.033799283213802545
2013-01-22,-0.03138995445075954
2013-01-23,-0.029265340492408587
2013-01-24,-0.030914454153434634
2013-01-25,-0.034060440269829684
2013-01-28,-0.03310737664786567
2013-01-29,-0.02579332129548384
2013-01-30,-0.0191862367216884
2013-01-31,-0.019394404472872218
2013-02-01,-0.020972877939368306
2013-02-04,-0.01782709817934358
2013-02-05,-0.018413004321287008
2013-02-06,-0.019015203784387813
2013-02-18,-0.012269657819121038
2013-02-19,-0.006822906056548672
2013-02-20,0.0
2013-02-21,-0.0022064029288623166
2013-02-22,-0.00056227482156046
2013-02-23,0.0
2013-02-25,-9.844281164883562e-05
2013-02-26,-0.0023549866622265547
2013-02-27,0.0
2013-03-01,0.0
2013-03-04,-0.012618398420185528
2013-03-05,-0.0022770733651940045
2013-03-06,0.0
2013-03-07,0.0
2013-03-08,0.0
2013-03-11,0.0
2013-03-12,-0.005948680011018781
2013-03-13,-0.00569404193915779
2013-03-14,-0.008735239447624443
2013-03-15,-0.009067062231709055
2013-03-18,-0.02000246951651119
2013-03-19,-0.010484624203965565
2013-03-20,-0.0076686079911308935
2013-03-21,-0.0030527977543942653
2013-03-22,0.0
2013-03-25,0.0
2013-03-26,0.0
2013-03-27,-0.0015622073742056486
2013-03-28,-0.0003090566856585042
2013-03-29,0.0
2013-04-01,-0.013463122228259405
2013-04-02,-0.012774809249728625
2013-04-03,-0.0009549292967627743
2013-04-08,-0.022951453141266898
2013-04-09,-0.025746838639816305
2013-04-10,-0.020845657452976396
2013-04-11,-0.013864478391636958
2013-04-12,-0.015019473898332358
2013-04-15,-0.023195018617802377
2013-04-16,-0.020858647445558876
2013-04-17,-0.0148809223364752
2013-04-18,-0.010394862270129868
2013-04-19,-0.003272392740655383
2013-04-22,0.0
2013-04-23,0.0
2013-04-24,0.0
2013-04-25,0.0
2013-04-26,-0.004128126934819232
2013-04-29,-0.003939758139134164
2013-04-30,0.0
2013-05-02,-0.0013213091142483258
2013-05-03,-0.0012224550301647152
2013-05-06,0.0
2013-05-07,0.0
